44°14′09″  145°16′26″
44°08′00″  145°09′41″
44°07′29″  145°10′07″
44°05′43″  145°08′37″
44°04′33″  145°07′20″
43°59′36″  145°00′48″
43°52′37″  144°52′36″
43°45′56″  144°43′04″
43°40′05″  144°42′18″
43°42′16″  144°19′52″
43°36′37″  144°26′19″
43°34′20″  144°33′39″
43°27′15″  144°09′53″
43°23′11″  144°00′31″
43°22′27″  144°00′23″
43°12′30″  143°47′51″
45°22′21″  141°00′57″
45°10′43″  141°14′31″
45°09′56″  142°00′31″
44°51′25″  142°08′59″
44°57′42″  142°25′13″
44°53′35″  142°14′04″
44°39′57″  142°24′44″
44°26′01″  142°35′03″
44°17′30″  143°04′57″
44°13′44″  142°52′35″
44°02′25″  142°55′03″
43°57′52″  142°53′17″
43°54′24″  143°02′55″
43°52′42″  143°43′06″
43°46′48″  142°59′07″
43°43′59″  143°10′35″
43°42′21″  143°09′38″
43°41′37″  143°17′45″
43°39′49″  142°51′15″
43°41′51″  142°55′13″
43°41′34″  142°52′47″
43°42′28″  142°51′26″
43°39′40″  142°54′21″
43°35′28″  142°53′40″
43°31′38″  142°50′56″
43°28′13″  142°45′06″
43°26′24″  142°42′24″
43°25′04″  142°41′11″
43°24′18″  142°40′18″
43°23′37″  142°38′06″
43°35′43″  143°08′47″
43°32′48″  143°01′20″
43°33′42″  143°02′07″
43°27′21″  143°01′56″
43°23′22″  143°04′55″
43°14′45″  143°06′08″
43°10′24″  142°46′52″
43°31′09″  143°14′00″
43°30′30″  143°27′49″
43°26′52″  143°27′23″
44°21′20″  142°01′55″
44°05′30″  142°05′09″
43°57′45″  141°50′10″
43°42′57″  141°31′23″
43°41′05″  141°29′16″
43°29′31″  141°42′24″
43°37′45″  142°06′37″
43°18′33″  142°18′42″
43°14′09″  142°17′01″
43°13′37″  142°09′34″
43°05′59″  142°15′04″
42°50′49″  142°18′47″
43°04′43″  142°35′46″
42°52′08″  142°47′07″
42°50′55″  142°53′06″
42°49′32″  142°40′31″
42°46′23″  142°43′39″
42°44′19″  142°41′42″
42°43′10″  142°40′58″
42°41′21″  142°45′28″
42°41′38″  142°47′48″
42°41′44″  142°51′34″
42°37′49″  142°38′55″
42°37′30″  142°45′59″
42°32′22″  142°48′29″
42°29′58″  142°52′16″
42°28′05″  142°53′04″
42°25′42″  142°54′25″
42°24′08″  142°58′00″
42°16′21″  143°06′40″
42°04′37″  143°13′59″
42°06′28″  143°01′32″
43°01′21″  141°19′21″
43°04′36″  141°11′33″
43°01′58″  141°01′11″
42°57′19″  140°54′45″
42°55′51″  141°02′26″
42°54′01″  141°12′02″
42°51′54″  141°15′13″
42°47′36″  141°17′07″
42°43′01″  141°21′32″
42°41′26″  141°22′36″
42°38′01″  141°08′33″
43°15′36″  140°27′33″
43°11′05″  140°39′39″
42°54′13″  140°28′11″
42°53′59″  140°30′55″
42°52′30″  140°39′32″
42°49′36″  140°48′41″
42°46′21″  140°54′37″
42°42′36″  140°55′22″
42°42′37″  140°39′20″
42°32′33″  140°51′52″
42°32′38″  140°50′21″
42°46′12″  140°12′54″
42°38′09″  140°08′08″
42°36′48″  139°56′26″
42°17′43″  139°48′38″
42°13′09″  140°00′38″
42°02′22″  140°16′29″
42°03′48″  140°40′38″
41°56′16″  140°46′17″
41°48′17″  141°09′58″
41°45′32″  140°42′15″
41°51′07″  140°13′48″
41°47′21″  140°27′52″
41°37′27″  140°12′51″
41°34′46″  140°09′39″
41°31′38″  140°18′39″
42°09′37″  139°26′34″
41°30′36″  139°22′02″
41°26′21″  141°03′10″
41°16′43″  141°07′12″
41°23′15″  141°26′27″
41°02′15″  141°19′02″
41°09′10″  140°35′12″
41°07′18″  140°24′02″
40°47′59″  140°34′32″
40°24′03″  141°35′04″
40°23′17″  141°18′30″
40°16′08″  141°22′28″
40°02′17″  141°32′28″
40°01′14″  141°38′39″
39°54′00″  141°29′07″
39°50′39″  141°14′49″
39°45′01″  141°37′35″
39°42′42″  141°36′16″
39°41′51″  141°29′01″
39°43′37″  141°46′52″
39°33′31″  141°29′19″
39°31′48″  141°29′45″
39°32′19″  141°58′29″
39°19′06″  141°39′01″
